Date,SummitCode,SummitName,QSOs,Points,Bonus Points,Total
2025-09-13,W0C/PR-001,Clark Peak,14,8,0,8
2025-08-31,W0C/SR-064,Horseshoe Mountain,14,10,0,18
2025-08-31,W0C/SR-070,Mount Sheridan,8,10,0,28
2025-08-03,W0C/SP-012,Grizzly Mountain,22,10,0,38
2025-07-20,W0C/FR-009,Ypsilon Mountain,16,10,0,48
2025-07-12,W0C/RG-002,Redcloud Peak,10,10,0,58
2025-07-12,W0C/RG-004,Sunshine Peak,7,10,0,68
2025-07-03,W0C/PR-018,Square Top Mountain,23,10,0,78
2025-07-03,W0C/SR-019,Argentine Peak,20,10,0,88
2025-06-21,W0C/SP-081,Kaufman Ridge,18,6,0,94
2025-06-14,W0C/FR-026,Saint Vrain Mountain,21,6,0,100
2025-06-07,W0C/FR-036,Bighorn Mountain,14,6,0,106
2025-06-01,W0C/FR-126,Crown Benchmark,13,6,0,112
2025-05-17,W0C/PR-118,Mount Pence,20,4,0,116
2025-05-03,W0C/FR-018,Hallett Peak,24,8,0,124
2025-04-12,W0C/FR-046,West White Pine Mountain,8,4,0,128
2025-03-30,W0C/SP-087,Black Mountain,9,6,3,137
2025-03-23,W0C/FR-064,West Crosier,14,4,3,144
2025-03-02,W0C/FR-050,Lily Mountain,12,4,3,151
2025-02-28,W0C/SR-061,Mount Sherman,7,10,3,164
2025-02-21,W0C/FR-039,Estes Cone,20,6,3,173
2025-02-15,W0C/FR-057,Crosier Mountain,11,4,3,180
2025-02-09,W0C/FR-061,Taylor Mountain,16,4,3,187
2025-02-02,W0C/SP-100,Mexican Ridge,10,4,3,194
2025-02-02,W0C/SP-085,North Kaufman Ridge,13,6,3,203
2025-01-12,W0C/FR-174,Bald Mountain,18,4,3,210
2025-01-01,W0C/FR-058,Emerald Mountain,8,4,3,217
2024-12-24,W0C/FR-095,Greyrock Mountain,19,10,2,218
2024-12-22,W0C/FR-037,East Twin Sisters Peaks,16,6,3,227
2024-12-15,W0C/FR-155,Deer Mountain,10,4,3,234
2024-11-23,W0C/PR-015,Mount Bierstadt,9,10,0,244
